date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:33	67/67	---M--	200	added ('OK')	text/plain	etag:%225f500bf7-43%22	http://indiacovidlive.herokuapp.com/robots.txt		(from )
22:51:47	2227/2227	---MCZ	200	added ('OK')	text/html	etag:W/%225f500c20-8b3%22	http://indiacovidlive.herokuapp.com/	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/index.html	(from )
22:51:47	3150/3150	---M--	200	added ('OK')	image/x-icon	etag:%225f500bf7-c4e%22	http://indiacovidlive.herokuapp.com/favicon.ico	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/favicon.ico	(from http://indiacovidlive.herokuapp.com/)
22:51:48	5347/5347	---M--	200	added ('OK')	image/png	etag:%225f500bf7-14e3%22	http://indiacovidlive.herokuapp.com/logo192.png	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/logo192.png	(from http://indiacovidlive.herokuapp.com/)
22:52:01	2234/2234	---MCZ	200	added ('OK')	text/css	etag:W/%225f500c20-8ba%22	http://indiacovidlive.herokuapp.com/static/css/main.f3858a96.chunk.css	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/static/css/main.f3858a96.chunk.css	(from http://indiacovidlive.herokuapp.com/)
22:52:47	566547/566547	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f500c20-8a513%22	http://indiacovidlive.herokuapp.com/static/js/2.39acfb2f.chunk.js	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/static/js/2.39acfb2f.chunk.js	(from http://indiacovidlive.herokuapp.com/)
22:52:59	45659/45659	---MC-	200	added ('OK')	text/javascript	date:Wed,%2019%20Aug%202020%2020:46:40%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/admin/Desktop/clone%20projects/www.google-analytics.com/analytics.js	(from http://indiacovidlive.herokuapp.com/static/js/2.39acfb2f.chunk.js)
22:53:08	59903/59903	---MC-	200	added ('OK')	text/javascript	date:Wed,%2019%20Aug%202020%2020:46:40%20GMT	https://www.google-analytics.com/analytics_debug.js	C:/Users/admin/Desktop/clone%20projects/www.google-analytics.com/analytics_debug.js	(from http://indiacovidlive.herokuapp.com/static/js/2.39acfb2f.chunk.js)
22:53:50	8037/8037	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225f500c20-1f65%22	http://indiacovidlive.herokuapp.com/static/js/main.d746fd3e.chunk.js	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/static/js/main.d746fd3e.chunk.js	(from http://indiacovidlive.herokuapp.com/)
22:54:13	2227/2227	---MCZ	200	added ('OK')	text/html	etag:W/%225f500c20-8b3%22	http://indiacovidlive.herokuapp.com/countries/	C:/Users/admin/Desktop/clone%20projects/indiacovidlive.herokuapp.com/countries/index.html	(from http://indiacovidlive.herokuapp.com/static/js/main.d746fd3e.chunk.js)
